bins	SAMPLE_BIOF3_01	SAMPLE_BIOF4_02
bin_044	0.21869536034386766	0.35260522708009034
bin_045_Proteobacteria	0.2212923874725907	0.20678477429629635
bin_046_Ignavibacteriae	0.21370072601236817	0.6105444765020082
bin_047_Proteobacteria	0.2099392387273673	0.1629458531466588
bin_048_Proteobacteria	0.20106836476232717	0.16293611077307132
bin_049_Ignavibacteriae	0.23226012757413142	0.29601162151062427
bin_050_Ignavibacteriae	0.19863047926619118	0.3294129110972455
bin_051	0.16201700248176257	0.14880131698612822
bin_052	0.19910748949832388	0.16977327111317844
bin_053	0.1917108955366102	0.1656686846619266
bin_054	0.1915822886284337	0.1671027650015322
bin_055	0.17673700414380508	0.15194485646700231
bin_056_Proteobacteria	0.11970181476929595	0.09686845426989207
bin_057	0.28381551083393186	0.41127552416539415
bin_058	0.25894147622795477	0.2949932442020654
bin_059	0.17381035704996892	0.3811491018742565
bin_060	0.17488583980594474	0.13061155294459367
bin_061	0.19760790944864826	0.266792336432126
bin_062_Proteobacteria	0.16616833984448928	0.1442668541219574
bin_063	0.1315134615553678	0.11213460485354962
bin_064_Actinobacteria	0.14757138680882742	0.13784375378232366
bin_065	0.162432695095697	0.17652112361691275
bin_066_Actinobacteria	0.17895262435889367	0.1667447466764702
bin_067_Ignavibacteriae	0.14529909381985545	0.21052092421230978
bin_068_Proteobacteria	0.1414232009135135	0.14091724014694001
bin_069_Bacteroidetes	0.12550298438713522	0.13275601265467196
bin_070_Ignavibacteriae	0.14121983011013287	0.2200090490086069
bin_071	0.1409624516770774	0.14261780929869905
bin_072	0.12697692463661595	0.13271194331453293
bin_073	0.13383407459552843	0.12335720043881823
bin_074	0.10999391863408878	0.1127702831980213
bin_075	0.10689917297480436	0.09293537995048472
bin_076_Gemmatimonadetes	0.132257422463833	0.11212630851107737
bin_077	0.10337275831831325	0.10585880539026886
bin_078	0.17402437628281958	0.2494213744613964
bin_079	0.10871939538479089	0.09795441032831785
bin_080	0.1054433839236251	0.1031104057899477
bin_081	0.07147247545808029	0.0827709286486936
bin_082	0.07837229762134061	0.08844153990526472
bin_083	0.09364842748950379	0.09873460323770555
bin_084_Actinobacteria	0.16041440238826868	0.11861746091593618
bin_085	0.09812701085016372	0.08524190703389431
bin_086_Bacteroidetes	0.09122048154356538	0.12944186455978055
bin_087_Proteobacteria	0.09497684880452704	0.1151145649078758
bin_088	0.07157515104425559	0.08308045980226117
bin_089	0.10636137629929257	0.10414931704965776
bin_090_Gemmatimonadetes	0.08450769040551351	0.23196422806126063
bin_091	0.0707673322692316	0.071454341105645
bin_092_Proteobacteria	0.07188456231966264	0.08757632059282419
bin_093	0.07194471728025612	0.08250255445658984
bin_094	0.06996279727093593	0.08609049549917884
bin_095	0.06531548647369308	0.07568119807733135
bin_096_Actinobacteria	0.06835606832473057	0.09948783740179734
bin_097	0.06802135312165876	0.07140768022385839
bin_098	0.05989153337718979	0.07201553018870728
bin_099	0.06103811243273874	0.06725854835260986
bin_100	0.05566762154035671	0.07224395940027213
bin_101_Chlorobi	0.07372464452847026	0.20634569656015245
bin_102	0.05959875827109903	0.070378455820233
bin_103	0.057094646591491036	0.06975036152259845
bin_104	0.055636544315337724	0.06890168329354796
bin_105	0.05099739305162501	0.06117946656101839
bin_106	0.05421895083740766	0.07997505541796637
bin_107	0.05212049055067191	0.06705748726651
bin_108	0.048942420571672314	0.06190416700142597
bin_109	0.0493503270050781	0.05986102296508485
bin_110	0.047158456268538	0.05540844939501461
bin_111	0.0445665427135462	0.06575774134295644
