"","bin_000-contigs_B1","bin_000-contigs_B3","bin_000-contigs_B4","bin_000-contigs_E1","bin_000-contigs_E2","bin_000-contigs_E3"
"scaffold_3036_partial_21201_59030_11",3,1,0,0,2,0
"scaffold_3036_partial_21201_59030_12",1,0,13,3,9,2
"scaffold_3036_partial_21201_59030_13",14,0,35,5,51,8
"scaffold_3036_partial_21201_59030_14",21,2,88,6,73,27
"scaffold_3036_partial_21201_59030_15",0,0,5,0,3,2
"scaffold_3036_partial_21201_59030_16",14,0,25,0,18,17
"scaffold_3036_partial_21201_59030_17",2,1,15,8,12,5
"scaffold_3036_partial_21201_59030_18",1,0,6,0,8,1
"scaffold_3036_partial_21201_59030_19",0,2,8,1,7,2
"scaffold_3036_partial_21201_59030_20",2,0,4,0,1,0
"scaffold_3036_partial_21201_59030_21",0,3,10,0,3,0
"scaffold_3036_partial_21201_59030_22",0,0,2,0,1,3
"scaffold_3036_partial_21201_59030_23",0,0,0,0,0,0
"scaffold_3036_partial_21201_59030_24",0,0,0,0,0,0
"scaffold_3036_partial_21201_59030_25",0,0,7,0,0,0
"scaffold_3036_partial_21201_59030_26",0,4,7,1,1,0
"scaffold_3036_partial_21201_59030_27",0,0,6,1,1,1
"scaffold_3036_partial_21201_59030_28",0,0,31,0,0,0
"scaffold_3036_partial_21201_59030_29",0,0,18,0,0,0
"scaffold_3036_partial_21201_59030_30",0,1,9,0,1,1
"scaffold_3036_partial_21201_59030_31",0,0,0,0,0,0
"scaffold_3036_partial_21201_59030_32",0,0,2,0,0,0
"scaffold_3036_partial_99016_119657_1",7,0,36,0,8,4
"scaffold_3036_partial_99016_119657_2",0,0,0,0,0,0
"scaffold_3036_partial_99016_119657_3",0,5,5,0,0,0
"scaffold_3036_partial_99016_119657_4",1,3,13,0,0,0
"scaffold_3036_partial_99016_119657_5",0,0,8,0,0,1
"scaffold_3036_partial_99016_119657_6",0,0,2,0,3,0
"scaffold_3036_partial_99016_119657_7",3,0,8,0,0,1
"scaffold_3036_partial_99016_119657_8",0,0,0,0,0,0
"scaffold_3036_partial_99016_119657_9",5,0,10,0,2,4
"scaffold_3036_partial_99016_119657_10",0,2,1,3,10,3
"scaffold_3036_partial_99016_119657_11",0,0,3,0,1,0
"scaffold_3036_partial_99016_119657_12",0,0,1,0,0,0
"scaffold_3036_partial_99016_119657_13",0,0,0,0,0,0
"scaffold_3036_partial_180169_219470_1",0,0,4,0,0,0
"scaffold_3036_partial_180169_219470_2",0,0,1,0,0,0
"scaffold_3036_partial_180169_219470_3",0,0,2,0,0,0
"scaffold_3036_partial_180169_219470_4",0,0,4,0,0,0
"scaffold_3036_partial_180169_219470_5",0,0,19,0,3,0
"scaffold_3036_partial_180169_219470_6",0,0,1,0,0,0
"scaffold_3036_partial_180169_219470_7",0,0,0,0,0,0
"scaffold_3036_partial_180169_219470_8",0,0,0,0,0,0
"scaffold_3036_partial_180169_219470_9",0,0,1,0,0,0
"scaffold_3036_partial_180169_219470_10",1,3,3,0,5,0
"scaffold_3036_partial_180169_219470_11",6,0,19,0,2,0
"scaffold_3036_partial_180169_219470_12",0,0,0,0,0,0
"scaffold_3036_partial_180169_219470_13",0,0,0,0,0,0
"scaffold_3036_partial_180169_219470_14",0,0,0,1,1,0
"scaffold_3036_partial_180169_219470_15",0,0,5,0,0,2
"scaffold_3036_partial_180169_219470_16",0,0,1,2,0,0
"scaffold_3036_partial_180169_219470_17",0,0,0,0,0,0
"scaffold_3036_partial_180169_219470_18",0,0,6,0,0,0
"scaffold_3036_partial_180169_219470_19",0,0,6,0,3,2
"scaffold_3036_partial_180169_219470_20",0,0,0,0,0,0
"scaffold_3036_partial_180169_219470_21",0,0,1,0,0,0
"scaffold_3036_partial_180169_219470_22",0,0,0,0,0,0
"scaffold_3036_partial_180169_219470_23",0,0,9,0,0,0
"scaffold_3036_partial_180169_219470_24",1,1,0,0,0,0
"scaffold_3036_partial_180169_219470_25",0,0,2,0,1,0
"scaffold_3036_partial_180169_219470_26",1,0,0,0,1,0
"scaffold_3036_partial_180169_219470_27",6,4,46,5,22,11
"scaffold_3036_partial_180169_219470_28",4,0,3,0,1,2
"scaffold_3036_partial_180169_219470_29",0,0,1,0,0,0
"scaffold_3036_partial_261287_280154_1",7,1,17,0,19,3
"scaffold_3036_partial_261287_280154_2",0,0,0,2,7,0
"scaffold_3036_partial_261287_280154_3",0,0,1,0,9,2
"scaffold_3036_partial_261287_280154_4",1,0,53,0,12,4
"scaffold_3036_partial_261287_280154_5",0,1,24,1,1,5
"scaffold_3036_partial_261287_280154_6",0,1,5,0,0,1
"scaffold_3036_partial_261287_280154_7",2,3,9,0,1,0
"scaffold_3036_partial_261287_280154_8",3,2,23,0,0,0
"scaffold_3036_partial_261287_280154_9",3,5,22,1,1,2
"scaffold_3036_partial_261287_280154_10",0,0,6,0,2,0
"scaffold_3036_partial_261287_280154_11",2,0,16,0,2,0
"scaffold_3036_partial_261287_280154_12",0,0,3,0,0,0
"scaffold_3036_partial_261287_280154_13",1,3,5,0,6,3
"scaffold_3036_partial_261287_280154_14",5,1,37,1,11,9
"scaffold_3036_partial_261287_280154_15",0,0,1,0,0,0
"scaffold_3036_partial_261287_280154_16",0,1,4,0,0,0
"scaffold_3036_partial_261287_280154_17",0,0,8,0,3,0
"scaffold_3036_partial_261287_280154_18",0,2,5,0,0,0
"scaffold_3036_partial_261287_280154_19",0,0,0,0,0,0
"scaffold_3036_partial_339213_360201_1",1,6,21,0,6,0
"scaffold_3036_partial_339213_360201_2",0,0,2,0,0,0
"scaffold_3036_partial_339213_360201_3",14,5,78,5,28,9
"scaffold_3036_partial_339213_360201_4",0,0,5,0,6,2
"scaffold_3036_partial_339213_360201_5",0,5,1,0,1,0
"scaffold_3036_partial_339213_360201_6",6,1,17,3,0,0
"scaffold_3036_partial_339213_360201_7",1,0,3,0,0,0
"scaffold_3036_partial_339213_360201_8",0,0,1,0,0,5
"scaffold_3036_partial_339213_360201_9",5,0,17,14,35,10
"scaffold_3036_partial_339213_360201_10",2,0,22,2,7,0
"scaffold_3036_partial_339213_360201_11",0,1,25,2,13,15
"scaffold_3036_partial_339213_360201_12",1,0,4,0,4,0
"scaffold_3036_partial_339213_360201_13",1,0,2,0,1,0
"scaffold_3036_partial_339213_360201_14",0,0,0,0,0,0
